db,workload,n_runs,throughput_ops_sec,read_avg_us,read_max_us,read_min_us,read_modify_write_avg_us,read_modify_write_max_us,read_modify_write_min_us,read_modify_write_ops,read_modify_write_p95_us,read_modify_write_p99_us,read_ok,read_ops,read_p95_us,read_p99_us,runtime_ms,update_avg_us,update_max_us,update_min_us,update_ok,update_ops,update_p95_us,update_p99_us,throughput_std,throughput_min,throughput_max
cassandra,a,3,4010.62,4742.68,1599487.0,477.67,,,,,,,500289.0,500289.0,11671.0,33193.67,249398.0,3050.4,1363284.33,285.67,499711.0,499711.0,7245.67,25620.33,76.12,3932.26,4084.28
cassandra,b,3,3418.69,4707.59,1913855.0,425.67,,,,,,,950215.33,950215.33,12489.67,31775.0,295023.33,3213.84,843263.0,452.67,49784.67,49784.67,7411.0,26105.67,393.7,3084.04,3852.48
cassandra,c,3,3347.35,4759.33,901204.33,462.67,,,,,,,1000000.0,1000000.0,11391.0,32692.33,301897.33,,,,,,,,431.67,3022.29,3837.12
cassandra,f,3,2258.19,5489.04,2571604.33,461.33,8548.8,2583551.0,1106.67,499797.0,21380.33,41492.33,1000000.0,1000000.0,13164.33,33401.67,443331.0,3038.19,2320383.0,330.0,499797.0,499797.0,6913.67,23849.67,93.21,2173.34,2357.97
cockroachdb,a,3,1019.33,8091.53,1346217.67,443.33,,,,,,,500250.0,500250.0,17524.33,25972.33,981326.33,23226.84,2039465.67,3057.33,499750.0,499750.0,43455.0,124201.67,21.5,994.71,1034.38
cockroachdb,b,3,2514.14,5725.37,1751209.67,363.67,,,,,,,950040.33,950040.33,11697.67,17844.33,397842.67,18108.35,1893033.67,3185.33,49959.67,49959.67,31535.0,120767.0,47.03,2480.93,2567.95
cockroachdb,c,3,3841.68,4152.48,64393.67,377.33,,,,,,,1000000.0,1000000.0,8233.67,12505.67,260386.33,,,,,,,,83.75,3748.1,3909.58
cockroachdb,f,3,770.67,8488.77,1876991.0,394.33,32952.61,2407081.67,3905.33,500015.33,57481.67,149929.67,1000000.0,1000000.0,18020.33,26191.0,1298178.0,24452.2,2134356.33,3081.33,500015.33,500015.33,44223.0,141439.0,20.41,757.36,794.17
mongodb,a,3,941.82,2226.95,5540521.67,189.0,,,,,,,500126.33,500126.33,4885.67,18399.0,1064603.67,31744.7,10383359.0,3498.67,499873.67,499873.67,63017.67,133759.0,58.93,878.63,995.28
mongodb,b,3,3822.53,2514.36,4749993.67,153.67,,,,,,,950041.0,950041.0,5305.67,48511.0,262083.0,35194.98,5275647.0,3856.67,49959.0,49959.0,71764.33,142249.67,196.66,3596.68,3956.01
mongodb,c,3,6405.01,2479.86,128489.67,132.33,,,,,,,1000000.0,1000000.0,3179.67,65055.0,156165.67,,,,,,,,122.14,6280.89,6525.07
mongodb,f,3,892.47,2357.39,6542676.33,188.67,33391.53,9079465.67,3916.67,499886.67,64212.33,154836.33,1000000.0,1000000.0,5172.33,20103.0,1120876.33,31025.89,9064447.0,3363.33,499886.67,499886.67,61492.33,145065.67,20.27,871.55,912.03
