db,workload,run,throughput_ops_sec,runtime_ms,read_avg_us,read_max_us,read_min_us,read_modify_write_avg_us,read_modify_write_max_us,read_modify_write_min_us,read_modify_write_ops,read_modify_write_p95_us,read_modify_write_p99_us,read_ok,read_ops,read_p95_us,read_p99_us,update_avg_us,update_max_us,update_min_us,update_ok,update_ops,update_p95_us,update_p99_us
cassandra,a,1,3932.2551089824506,254307.0,4786.853649506488,1306623.0,460.0,,,,,,,499684.0,499684.0,12719.0,37599.0,3178.3191822768013,1011199.0,267.0,500316.0,500316.0,7903.0,31119.0
cassandra,a,2,4084.283269550443,244841.0,4673.436064905805,2168831.0,482.0,,,,,,,500664.0,500664.0,10839.0,30783.0,3020.1749303074484,2172927.0,285.0,499336.0,499336.0,6859.0,22959.0
cassandra,a,3,4015.3224705476096,249046.0,4767.753777578873,1323007.0,491.0,,,,,,,500519.0,500519.0,11455.0,31199.0,2952.699704293056,905727.0,305.0,499481.0,499481.0,6975.0,22783.0
cassandra,b,1,3319.5351323000727,301247.0,4774.71783118508,3174399.0,386.0,,,,,,,950307.0,950307.0,11759.0,31663.0,3464.0631074799267,2326527.0,487.0,49693.0,49693.0,8279.0,26303.0
cassandra,b,2,3852.480805014389,259573.0,4128.267422108839,1406975.0,420.0,,,,,,,950172.0,950172.0,9511.0,23503.0,2977.1354258649753,112959.0,417.0,49828.0,49828.0,6779.0,19215.0
cassandra,b,3,3084.040092521203,324250.0,5219.782692937137,1160191.0,471.0,,,,,,,950167.0,950167.0,16199.0,40159.0,3200.3211727168746,90303.0,454.0,49833.0,49833.0,7175.0,32799.0
cassandra,c,1,3837.1218516415206,260612.0,4100.178994,414975.0,483.0,,,,,,,1000000.0,1000000.0,9423.0,26111.0,,,,,,,
cassandra,c,2,3182.6355404910805,314205.0,4955.304735,1469439.0,400.0,,,,,,,1000000.0,1000000.0,13007.0,36095.0,,,,,,,
cassandra,c,3,3022.289384208538,330875.0,5222.496069,819199.0,505.0,,,,,,,1000000.0,1000000.0,11743.0,35871.0,,,,,,,
cassandra,f,1,2243.2690711520086,445778.0,5580.402265,2797567.0,458.0,8537.758194473909,2828287.0,1039.0,499666.0,21487.0,43167.0,1000000.0,1000000.0,13463.0,35807.0,2939.1603090864696,2791423.0,293.0,499666.0,499666.0,6483.0,23023.0
cassandra,f,2,2357.967809023471,424094.0,5196.398682,1998847.0,411.0,8234.38513693034,1999871.0,1032.0,500583.0,20015.0,38527.0,1000000.0,1000000.0,12303.0,29967.0,3018.3676712952697,1257471.0,314.0,500583.0,500583.0,7067.0,22623.0
cassandra,f,3,2173.341360207424,460121.0,5690.306897,2918399.0,515.0,8874.268414599454,2922495.0,1249.0,499142.0,22639.0,42783.0,1000000.0,1000000.0,13727.0,34431.0,3157.042927663871,2912255.0,383.0,499142.0,499142.0,7191.0,25903.0
mongodb,a,1,995.2843427838899,1004738.0,2167.429052999063,5726207.0,180.0,,,,,,,499556.0,499556.0,4675.0,18095.0,29869.54874471469,7933951.0,3622.0,500444.0,500444.0,61119.0,112511.0
mongodb,a,2,951.5363505916653,1050932.0,2193.6467033264003,5296127.0,191.0,,,,,,,499549.0,499549.0,4719.0,18799.0,31281.93633142905,10493951.0,3522.0,500451.0,500451.0,61695.0,121471.0
mongodb,a,3,878.6257590228275,1138141.0,2319.7763418808877,5599231.0,196.0,,,,,,,501274.0,501274.0,5263.0,18303.0,34082.60242297374,12722175.0,3352.0,498726.0,498726.0,66239.0,167295.0
mongodb,b,1,3596.6824201356667,278034.0,2676.1050682909677,2998271.0,150.0,,,,,,,949906.0,949906.0,6003.0,49311.0,36824.99079730107,4300799.0,4062.0,50094.0,50094.0,74687.0,166911.0
mongodb,b,2,3914.8902851997573,255435.0,2424.1482243270043,5054463.0,158.0,,,,,,,950006.0,950006.0,4939.0,47839.0,35019.798015761895,5226495.0,3780.0,49994.0,49994.0,70719.0,127487.0
mongodb,b,3,3956.009177941293,252780.0,2442.827973997354,6197247.0,153.0,,,,,,,950211.0,950211.0,4975.0,48383.0,33740.16469501296,6299647.0,3728.0,49789.0,49789.0,69887.0,132351.0
mongodb,c,1,6280.8941480909225,159213.0,2527.090942,161791.0,128.0,,,,,,,1000000.0,1000000.0,3395.0,64991.0,,,,,,,
mongodb,c,2,6409.064981509848,156029.0,2479.224285,123263.0,136.0,,,,,,,1000000.0,1000000.0,3075.0,65087.0,,,,,,,
mongodb,c,3,6525.072591432579,153255.0,2433.277347,100415.0,133.0,,,,,,,1000000.0,1000000.0,3069.0,65087.0,,,,,,,
mongodb,f,1,912.0293016774043,1096456.0,2289.483889,5537791.0,193.0,32706.586008110313,7847935.0,3930.0,500104.0,63743.0,157183.0,1000000.0,1000000.0,4899.0,15751.0,30388.36128885192,7843839.0,3482.0,500104.0,500104.0,61215.0,150399.0
mongodb,f,2,893.8171982942392,1118797.0,2466.379023,6545407.0,190.0,33213.56977889338,10977279.0,3962.0,499578.0,63967.0,149887.0,1000000.0,1000000.0,5343.0,25119.0,30740.544225326175,10977279.0,3394.0,499578.0,499578.0,61087.0,135551.0
mongodb,f,3,871.5538759743972,1147376.0,2316.312628,7544831.0,183.0,34254.435485161346,8413183.0,3858.0,499978.0,64927.0,157439.0,1000000.0,1000000.0,5275.0,19439.0,31948.755219229646,8372223.0,3214.0,499978.0,499978.0,62175.0,149247.0
